"id","estacion","nombre_estacion","longitud","latitud","altitud","anio","mes","temperatura","fecha"
6412,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,1,0.0,2009-01-01
12910,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,2,0.0,2009-02-01
19408,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,3,0.0,2009-03-01
25906,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,4,26.6,2009-04-01
32404,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,5,26.1,2009-05-01
38902,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,6,25.1,2009-06-01
45400,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,7,24.7,2009-07-01
51898,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,8,24.8,2009-08-01
58396,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,9,25.3,2009-09-01
64894,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,10,25.7,2009-10-01
71392,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,11,26.0,2009-11-01
77890,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2009,12,26.3,2009-12-01
6413,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2010,1,26.2,2010-01-01
12911,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2010,2,26.5,2010-02-01
19409,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2010,3,26.7,2010-03-01
25907,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2010,4,26.9,2010-04-01
32405,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2010,5,26.5,2010-05-01
38903,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2010,6,24.7,2010-06-01
45401,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2010,7,24.3,2010-07-01
51899,M1239,UNIVERSIDAD ESTATAL DE QUEVEDO-UTEQ,-79.42083333,-1.061388889,90,2010,8,24.2,2010-08-01
